Библиотека (ФИО автора, название произведения, год издания, издательство). Поиск по издательству. Сортировка по году издания.

ФИО автора;Название произведения;Год издания;Издательство
Александр Пушкин;Евгений Онегин;1833;Издательство А
Лев Толстой;Война и мир;1869;Издательство Б
Федор Достоевский;Преступление и наказание;1866;Издательство В
Николай Гоголь;Мертвые души;1842;Издательство А
Иван Тургенев;Отцы и дети;1862;Издательство Б
Антон Чехов;Вишневый сад;1904;Издательство Г
Михаил Булгаков;Мастер и Маргарита;1967;Издательство Д
Лев Толстой;Анна Каренина;1877;Издательство В
Федор Достоевский;Идиот;1869;Издательство В
Николай Гоголь;Ревизор;1836;Издательство А
Джордж Оруэлл;1984;1949;Издательство А
Джейн Остин;Гордость и предубеждение;1813;Издательство Б
Рей Брэдбери;451 градус по Фаренгейту;1953;Издательство В
Харпер Ли;Убить пересмешника;1960;Издательство Г
Габриэль Гарсиа Маркес;Сто лет одиночества;1967;Издательство В
Тони Моррисон;Возлюбленная;1987;Издательство А
Луи Сахар;Зелёная миля;1996;Издательство Г
Рэймонд Чандлер;Большой сон;1939;Издательство Б
Эрнест Хемингуэй;По ком звонит колокол;1940;Издательство А
Джон Стейнбек;На восток от Эдема;1952;Издательство В
Эмили Бронте;Грозовой перевал;1847;Издательство В
Джек Лондон;Белый Клык;1906;Издательство А
Джеймс Джойс;Улисс;1922;Издательство Б
Джордж Мартин;Игра престолов;1996;Издательство Г
Владимир Набоков;Лолита;1955;Издательство В
Джоан Роулинг;Гарри Поттер и Философский камень;1997;Издательство А
Харуки Мураками;Норвежский лес;1987;Издательство В
Шарлотта Бронте;Джейн Эйр;1847;Издательство Б
Фрэнсис Скотт Фицджеральд;Великий Гэтсби;1925;Издательство Г
Толкин Джон Рональд Руэл;Властелин колец;1954;Издательство А
